indice,tempo_s,resultado,latencia_ms
727,7.573,rejeitado_500,2.656
728,7.583,rejeitado_500,2.439
729,7.594,rejeitado_500,2.443
730,7.604,rejeitado_500,2.173
731,7.614,rejeitado_500,2.290
732,7.625,rejeitado_500,2.206
733,7.636,rejeitado_500,2.295
734,7.646,rejeitado_500,2.252
735,7.656,rejeitado_500,2.426
736,7.667,rejeitado_500,2.463
737,7.678,rejeitado_500,2.916
738,7.688,rejeitado_500,2.411
739,7.698,rejeitado_500,2.524
740,7.708,rejeitado_500,2.203
741,7.719,rejeitado_500,2.389
742,7.730,rejeitado_500,3.014
743,7.740,rejeitado_500,2.602
744,7.751,rejeitado_500,3.294
745,7.762,rejeitado_500,3.558
746,7.773,rejeitado_500,3.772
747,7.784,rejeitado_500,4.059
748,7.794,rejeitado_500,3.389
749,7.805,rejeitado_500,3.246
750,7.817,rejeitado_500,3.778
751,7.827,rejeitado_500,3.365
752,7.838,rejeitado_500,3.825
753,7.849,rejeitado_500,3.748
754,7.859,rejeitado_500,3.523
755,7.871,rejeitado_500,3.892
756,7.881,rejeitado_500,3.751
757,7.892,rejeitado_500,3.237
758,7.903,rejeitado_500,3.733
759,7.913,rejeitado_500,3.610
760,7.924,rejeitado_500,3.732
761,7.934,rejeitado_500,3.804
762,7.944,rejeitado_500,2.966
763,7.955,rejeitado_500,3.883
764,7.966,rejeitado_500,3.762
765,7.976,rejeitado_500,3.478
766,7.986,rejeitado_500,3.665
767,7.998,rejeitado_500,3.446
768,8.008,rejeitado_500,3.702
769,8.018,rejeitado_500,3.658
770,8.028,rejeitado_500,2.839
771,8.040,rejeitado_500,4.099
772,8.050,rejeitado_500,3.255
